18,"BANDAI GUN66737 GUNPLA HIRM GUNDAM ASTRAY NOIR","179,00","Cet article est un kit plastique de qualité supérieure issu de l'univers Gundam. Le spectaculaire Gundam Astray Noir de ""Mobile Suit Gundam SEED Destiny Astray B"" est disponible en version haute résolution de Bandai! Cette bête dispose d'une armature intérieure et d'un traitement de surface complet pour lui donner une densité de texture et de profondeur accrue. Ajoutez ce superbe kit à votre collection maintenant! La combinaison a été une nouvelle fois repensée pour paraître plus robuste, et elle comprend un cadre intérieur entièrement assemblé ainsi que tout l’arsenal des armes.",1,1,3,8
19,"BANDAI GUNPLA MSM 1/48 ZAKU II GREEN GUNDAM","99,00","Maquette Gundam articulée à assembler sans colle ni peinture (optionnel). Socle de présentation disponible séparément, sauf indication contraire dans la description du produit.
BANDAI GUNPLA MSM 1/48 ZAKU II GREEN GUNDAM",1,1,5,9
20,"BANDAI GUNPLA 1/48 MEGASIZE GUNDAM UNICORN","109,00","Maquette articulée à assembler sans colle ni peinture (optionnel).


Serie: Gundam UC (Unicorn)

Date de sortie: Août 2017

Taille/poids du paquet: 58.0 x 39.0 x 14.3 cm / 2120g

Ajoutez ce Mega Size Model à votre collection et restez connectés pour connaître les prochaines sorties!
",1,1,5,9
21,"BANDAI GUN16106 GUNPLA PG STRIKE ROUGE + SKYGRASPER","219,90","Maquette Gundam articulée à assembler sans colle ni peinture (optionnel).
BANDAI GUN16106 GUNPLA PG STRIKE ROUGE + SKYGRASPER",1,1,4,10
22,"BANDAI GUN82392 GUNPLA PG 1/60 GUNDAM EXIA KIT LED","149,90","

GUNPLA PG 1/60 GUNDAM EXIA KIT LED provient de Gundam 00 (Double O)

Système de montage SNAPFIT = ne nécessite ni colle, ni peinture. 
Kit Led fournie
Produit présenté en boite cartonnée.
",1,1,4,10
23,"1 PACK DECAL N°118 MG GM SNIPER GM COMMAND","5,90","1 PACK DECAL N°118 MG 1/100 GM SNIPER /GM COMMAND",2,2,,
24,"PACK DECAL N°111 RG 1/144 ASTRAY RED FRAME","5,90","1 PACK DECAL N°111 RG 1/144 ASTRAY RED FRAME",2,2,,
25,"BANDAI GUN81428 GUNPLA HGBC 1/144 SPINNING BLASTER","9,95","Maquette Gundam articulée à assembler sans colle ni peinture (optionnel). Socle de présentation disponible séparément, sauf indication contraire dans la description du produit.",1,2,,
26,"BANDAI ACTION BASE CUSTOMIZE SCENE BASE","8,90","Socle de présentation à assembler sans colle ni peinture (optionnel). Compatible 1/144.",1,2,,
27,"Bandai Tamashii Double Base Transparente","20,00","Accessoire PVC adaptable aux figurines et maquettes.

Set de 2 bases transparentes pour figurine Bandaï.

Idéal pour présenter en vitrine ou faire des dioramas !

vendu en window box",1,2,,
28,"BANDAI SPIRITS ENTRY NIPPER","9,95","BANDAI SPIRITS ENTRY NIPPER",1,3,,
29,"VALLEJO GUN58801 GUNPLA PRECISION 9PCS","32,00","Set pour le modeling plastic, modeling militaire et autre hobby d'application",2,3,,
32,"BANDAI GUNPLA MARKER REAL TOUCH 2 SET 6 GUNDAM","19,90","
BANDAI GUNPLA MARKER REAL TOUCH 2 SET 6 GUNDAM

Ces véritables marqueurs tactiles sont conçus pour résister aux intempéries. Avec eux, vous pouvez donner l'effet de taches et de bavures facilement avec une touche réaliste. La peinture à base d'eau est utilisée pour la sécurité. Cet ensemble est composé entièrement de marqueurs qui sont disponibles séparément, de sorte que vous pouvez les obtenir dans l'ensemble ou individuellement. Les marqueurs GM406, GM407, GM408, GM409, GM410 et le flouteur GM400 sont tous inclus!
",1,3,,
33,"BANDAI GUNPLA MARKER SEED SET 6 GUNDAM","20,90","
BANDAI GUNDAM MARKER SEED 6 PCS

Voici un ensemble de couleurs conçu pour les variantes Impulse Gundam de la série Gundam Seed ! Toutes les couleurs de cet ensemble sont uniques: GM40 SEED Red GM41 SEED Yellow GM42 SEED White GM43 SEED Blue GM44 SEED Gray GM45 SEED Dark Blue
",1,3,,
34,"CLEANING STATION WITH AIRBRUSH HOLDER","16,00","Pot de nettoyage à aérographe, verre avec couvercle en plastique, utilisé pour pulvériser l'aérographe. L'aérographe est inséré via l'ouverture du couvercle et est nettoyé en pulvérisant le nettoyant Vallejo Airbrush ou de l'eau dans le récipient.",2,3,,
35,"VALLEJO DIAMOND FILE SET (5) 100mm","15,95","Limes avec des copeaux de diamant synthétique, plus solides et plus rapides que les limes métalliques Taille 140 mm. L'ensemble comprend 5 profils: plat, carré, rond, demi-rond et triangulaire. pour des travaux de finition précis sur tous les matériaux.",2,3,,
36,"VALLEJO EXTRA FINE CURVED TWEEZERS","5,95","Pinces incurvées extra fines idéales pour atteindre les zones difficiles d'accès, pour prendre, tenir et placer de très petites pièces et composants avec une grande précision.",2,3,,
37,"VALLEJO MASKING TAPE 10mmX18m - TWIN PACK","5,95","Ruban de masquage pour modélisme et tous les projets miniatures. Pas de bavure de peinture ou de lignes de peinture hésitantes. Protection U.V. pour masquage en plein soleil. Emballage: 2 unités",2,3,,
38,"VALLEJO MASKING TAPE 1mmX18m - TWIN PACK","2,50","Ruban de masquage pour modélisme et tous les projets miniatures. Pas de bavure de peinture ou de lignes de peinture hésitantes. Protection U.V. pour masquage en plein soleil. Emballage: 2 unités",2,3,,
39,"VALLEJO Set of 3 Flexi Sanders Dual-Grit (80x30x6 mm)","4,95","Coarse (60/100): Effective material removal. Medium (240/400): Blending and smoothing. Fine (600/1000): Finishing and polishing.",2,3,,
40,"VALLEJO MECHA BOUTEILLE DE PEINTURE","2,95","Présenté en bouteilles de 17 ml./0,57 fl.oz avec pipette. Cet emballage empêche la peinture de s’évaporer et de sécher dans le récipient, de sorte qu’il peut être utilisé en quantité minimale et conservé pendant une longue période.",2,3,,
41,"VALLEJO 50012 MODEL AIR 71172 COLOR SET AND AIRBRUSH","259,00","VALLEJO 50012 MODEL AIR 71172 COLOR SET AND AIRBRUSH.
Set Disponible sur Commande.",2,3,,
42,"FENGDA COMPRESSOR AS-18-3","169,00","FENGDA COMPRESSOR AS-18-3


Oil-free piston compressor Ultra quiet Motor: 220-240V 50Hz /110-120V 60HZ Rotational speed: 1450 rpm/ 1700 rpm Auto-Stop at 4Bar; Auto Re-Start at 3bar Maximum pressure: 57 psi (4 BAR) 1/8 BSP Male outlet Air Delivery: 23 litres/min PCS/CTN: 6

 Disponibilité sous 4 semaines.
",2,3,,
43,"H & S AIRBRUSH EVOLUTION TWO IN ONE","159,00","

De Harder & Steenbeck une nouvelle ligne d’Aérographe signée Vallejo, le leader mondial des peintures pour la modélisation et le wargame L'évolution ""2 en 1"" est une réussite parmi les pulvérisateurs de peinture: une structure solide, un excellent traitement et une double action douce ont fait de cet instrument l'un des aérographes les plus utilisés depuis son lancement. L'Evolution est un système d'alimentation par gravité disponible sous la forme d'un modèle ""2 en 1"", doté de deux jeux de buses de différentes tailles et permettant une conversion rapide et flexible de l'instrument pour tous les domaines d'application. Le 2 en 1 comprend un jeu de buses de 0,2 et 0,4 mm et deux tasses de 2 et 5 ml.

 Disponibilité sous 4 semaines.
",2,3,,
